lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
абонементный;a;ADJF;ADJF;0,4;24;76;30
абонентский;a;ADJF;ADJF;2,5;53;81;127
абразивный;a;ADJF;ADJF;0,9;28;71;51
абрикосовый;a;ADJF;ADJF;1,2;51;85;73
абсолютный;a;ADJF;ADJF;42,3;100;93;2070
абстрактный;a;ADJF;ADJF;15,9;100;87;743
абсурдный;a;ADJF;ADJF;4,5;91;93;325
абхазский;a;ADJF;ADJF;2,1;53;83;92
авангардистский;a;ADJF;ADJF;0,6;33;83;44
авангардный;a;ADJF;ADJF;3,4;69;88;220
авансовый;a;ADJF;ADJF;1,4;41;73;61
авантюрный;a;ADJF;ADJF;2,3;73;90;157
аварийно-спасательный;a;ADJF;ADJF;1,2;19;51;36
аварийный;a;ADJF;ADJF;12,5;93;85;555
авгиев;a;ADJF;ADJF;0,5;34;84;40
августейший;a;ADJF;ADJF;1,1;48;84;62
августовский;a;ADJF;ADJF;5,6;90;92;336
авиакосмический;a;ADJF;ADJF;1,1;40;81;63
авианосный;a;ADJF;ADJF;0,7;22;58;23
авиастроительный;a;ADJF;ADJF;1,0;28;76;52
авиационно-космический;a;ADJF;ADJF;1,1;35;79;62
авиационный;a;ADJF;ADJF;28,6;97;89;889
авральный;a;ADJF;ADJF;0,9;40;82;56
австралийский;a;ADJF;ADJF;5,6;78;87;260
австрийский;a;ADJF;ADJF;8,3;93;91;440
австро-венгерский;a;ADJF;ADJF;0,5;32;82;35
автобиографический;a;ADJF;ADJF;3,0;66;83;175
автобусный;a;ADJF;ADJF;7,3;94;92;409
автогражданский;a;ADJF;ADJF;0,5;20;76;29
автодорожный;a;ADJF;ADJF;0,6;31;82;47
автозаводский;a;ADJF;ADJF;0,9;33;78;54
автозаправочный;a;ADJF;ADJF;0,7;36;83;50
автоматизированный;a;ADJF;ADJF;11,2;65;83;523
автоматический;a;ADJF;ADJF;24,0;99;90;1183
автоматный;a;ADJF;ADJF;4,2;76;89;197
автомобильный;a;ADJF;ADJF;34,0;99;93;1651
автономный;a;ADJF;ADJF;22,1;93;83;942
